,accuracy,precision,recall,specificity,f1_score,cohens_kappa,roc_auc,pr_auc
random_forest,0.9995962220427653,0.9411764705882353,0.8163265306122449,0.9999120709060214,0.8743169398907105,0.8741157481811475,0.9630272515590367,0.8788377674073098
undersampled rf,0.9640988729328324,0.04231311706629055,0.9183673469387755,0.964177687113112,0.08089887640449436,0.0778656661966407,0.9776978619951074,0.753825993338084
oversampled_rf,0.9995259997893332,0.9493670886075949,0.7653061224489796,0.9999296567248172,0.8474576271186441,0.8472229975990361,0.9628214257002745,0.8637313842580973
smote,0.999420666409185,0.8350515463917526,0.826530612244898,0.9997186268992684,0.8307692307692307,0.8304790749544261,0.9644232605112952,0.8764981229088987
adasyn,0.9993679997191109,0.8229166666666666,0.8061224489795918,0.9997010410804728,0.8144329896907215,0.8141164842185491,0.9790410237674134,0.8744430210086037
random_forest_cw,0.9994733330992591,0.9473684210526315,0.7346938775510204,0.9999296567248172,0.8275862068965517,0.8273266931353049,0.9478244906572646,0.8588366281487564
balanced_random_forest,0.9776342122818721,0.06573116691285082,0.9081632653061225,0.9777539392234103,0.12258953168044076,0.1197651626375611,0.97870850823447,0.7806026493342468
balanced_random_forest_cw,0.986306660580738,0.10163551401869159,0.8877551020408163,0.9864765053460889,0.18238993710691825,0.17985781068443718,0.9785442243864344,0.7189598220788234
